rotation angle (unit: degrees)	average_peak_distance_residual d_res(unit: mm)	average_peak_height_hp
-64	-999	-999
-63	-999	-999
-62	-999	-999
-61	-999	-999
-60	-999	-999
-59	-999	-999
-58	10.970875	0.834480
-57	9.958850	0.851416
-56	9.525125	0.869004
-55	9.091399	0.887185
-54	8.513099	0.905989
-53	8.223949	0.925449
-52	3.316176	0.538838
-51	3.416015	0.554296
-50	3.518322	0.570684
-49	3.496785	0.587875
-48	3.339066	0.605666
-47	3.464548	0.623891
-46	3.319973	0.642305
-45	3.169112	0.660612
-44	3.024537	0.678521
-43	2.874769	0.695719
-42	2.725417	0.711923
-41	2.586625	0.726837
-40	2.442050	0.747040
-39	2.297475	0.767877
-38	2.158683	0.786155
-37	1.875316	0.803202
-36	1.603713	0.807398
-35	1.190155	0.798777
-34	0.769573	0.804389
-33	0.631569	0.809683
-32	0.210987	0.808757
-31	0.608932	0.810729
-30	1.016371	0.807060
-29	1.292378	0.822375
-28	1.568385	0.821584
-27	2.120399	0.800268
-26	2.534409	0.786699
-25	2.951531	0.786777
-24	3.502293	0.775696
-23	4.060952	0.753446
-22	4.883867	0.732976
-21	4.754147	1.225820
-20	4.754147	1.217419
-19	4.898722	1.208246
-18	5.187872	1.198407
-17	5.477022	1.187936
-16	5.910748	1.176931
-15	6.344473	1.165563
-14	7.067348	1.154097
-13	-999	-999
-12	-999	-999
-11	-999	-999
-10	-999	-999
-9	-999	-999
-8	-999	-999
-7	-999	-999
-6	-999	-999
-5	-999	-999
-4	-999	-999
-3	-999	-999
-2	-999	-999
-1	-999	-999
0	-999	-999
1	6.369719	0.945414
2	7.237169	0.943160
3	8.104620	0.939909
4	8.682920	0.935138
5	9.116645	0.928535
6	9.550371	0.919737
7	9.839521	0.908600
8	9.839521	0.895123
9	9.839521	0.879526
10	9.550371	0.862358
11	9.405796	0.844542
12	8.538345	0.827691
13	-999	-999
14	-999	-999
15	-999	-999
16	-999	-999
17	-999	-999
18	-999	-999
19	-999	-999
20	-999	-999
21	-999	-999
22	-999	-999
23	-999	-999
24	-999	-999
25	-999	-999
26	-999	-999
27	-999	-999
28	-999	-999
29	-999	-999
30	-999	-999
31	-999	-999
32	-999	-999
33	-999	-999
34	-999	-999
35	-999	-999
36	-999	-999
37	-999	-999
38	-999	-999
39	-999	-999
40	-999	-999
41	-999	-999
42	-999	-999
43	-999	-999
44	-999	-999
45	-999	-999
46	-999	-999
47	-999	-999
48	-999	-999
49	-999	-999
50	9.678115	0.124659
51	8.810665	0.129545
52	8.087789	0.136544
53	7.509489	0.144759
54	6.931188	0.153659
55	6.642038	0.162861
